TÍTULO,AUTORAS,INSTITUCIÓN ,AÑO,ÁREA STEM,CATEGORÍA,LINK,,,,,,,,,,,,,,,,,,,
Construcción de Política Pública para incrementar la participación de las mujeres en el área STEM,Investigadoras de la Universidad Católica Boliviana San Pablo,Universidad Católica Boliviana San Pablo,2021,STEM,Paper escrito por mujeres STEM,https://portal.scz.ucb.edu.bo/public/Imagenes/General/2023/Infografia2.pdf,,,,,,,,,,,,,,,,,,,
Investigación sobre el rol de las mujeres en áreas STEM,Mary Cruz De Urioste,Universidad Privada de Santa Cruz de la Sierra (UPSA),2020,STEM,Paper escrito por mujeres STEM,https://www.upsa.edu.bo/es/noticias-upsa/1627-investigacion-sobre-rol-de-las-mujeres-en-areas-stem,,,,,,,,,,,,,,,,,,,
Relación entre la inclusión y el abandono de mujeres en carreras STEM,Investigadoras de la Universidad Católica Boliviana San Pablo,Universidad Católica Boliviana San Pablo,2020,STEM,Paper escrito por mujeres STEM,https://www.scielo.org.bo/scielo.php?pid=s2071-081x2020000200009&script=sci_arttext,,,,,,,,,,,,,,,,,,,
La realidad de las mujeres bolivianas en carreras STEM,Investigadoras de la Universidad Católica Boliviana San Pablo,Universidad Católica Boliviana San Pablo,2020,STEM,Paper escrito por mujeres STEM,https://1library.co/article/realidad-mujeres-bolivianas-carreras-stem.zlg4l5x6,,,,,,,,,,,,,,,,,,,
Investigación sobre representaciones sociales de las mujeres en áreas STEM de Bolivia,Mariana Santa Cruz,Universidad Católica Boliviana San Pablo,2020,STEM,Paper escrito sobre mujeres en STEM,https://sce.bo/investigacion-sobre-el-rol-de-las-mujeres-en-areas-stem/,,,,,,,,,,,,,,,,,,,
Impacto de las políticas públicas en la inclusión de mujeres en STEM en Bolivia,Investigadoras de la Universidad Católica Boliviana San Pablo,Universidad Católica Boliviana San Pablo,2021,STEM,Paper escrito por mujeres STEM,https://portal.scz.ucb.edu.bo/es/vlir_proyectos_programa,,,,,,,,,,,,,,,,,,,
Laboratoria: Empoderando a mujeres en tecnología,Mariana Costa Checa y equipo,Laboratoria,2014,Tecnología,Proyectos STEM liderados por mujeres,https://www.laboratoria.la,,,,,,,,,,,,,,,,,,,
Estudio sobre la brecha de género en el sector tecnológico boliviano,Investigadoras de la Universidad Privada Boliviana,Universidad Privada Boliviana,2021,Tecnología,Paper escrito sobre mujeres en STEM,https://www.upb.edu/,,,,,,,,,,,,,,,,,,,
Análisis de la participación femenina en carreras de ingeniería en Bolivia,Investigadoras de la Universidad Mayor de San Andrés,Universidad Mayor de San Andrés,2019,Ingeniería,Paper escrito por mujeres STEM,https://www.umsa.bo/,,,,,,,,,,,,,,,,,,,
Programa de mentoría para mujeres en ciencias exactas en Bolivia,Investigadoras de la Universidad Autónoma Gabriel René Moreno,Universidad Autónoma Gabriel René Moreno,2020,Ingeniería,Proyectos STEM liderados por mujeres,https://www.uagrm.edu.bo/,,,,,,,,,,,,,,,,,,,
"Mapping Women STEM Initiatives in Latin American Countries: Bolivia, Brazil and Peru",Luciana Bolan Frigo y equipo,SpringerLink,2024,Matemáticas,Paper escrito sobre mujeres en STEM,https://link.springer.com/chapter/10.1007/978-3-031-54256-5_38,,,,,,,,,,,,,,,,,,,
Participación de las mujeres en áreas STEM en Bolivia,Investigadoras de la Universidad Católica Boliviana San Pablo,Universidad Católica Boliviana San Pablo,2020,Matemáticas,Trabajos STEM,https://stemsantacruz.com/,,,,,,,,,,,,,,,,,,,
Estrategias para mitigar reducciones por deficiente calidad de servicio comercial en distribución de electricidad,Lena Vargas Espinoza,UMSA,2022,Ingeniería,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/30875,,,,,,,,,,,,,,,,,,,
"Dimensionamiento de sistemas de puesta a tierra para subestaciones eléctricas, según la Norma IEEE-80, aplicando el Software ETAP",Ros Mery Gonzales Zamora,UMSA,2024,Ingeniería,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/37336,,,,,,,,,,,,,,,,,,,
Implementación de un programa computacional para el cálculo de tensiones eléctricas en redes de distribución mediante el método de los tramos,Magali Apaza Ochoa,UMSA,2021,Ingeniería,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/36474,,,,,,,,,,,,,,,,,,,
Estudio de resistividad de terrenos a partir de la configuración método Wenner para construcción de estaciones satelitales de regasificación en catorce poblaciones,Regina Callata Condori ,UMSA,2021,Ingeniería,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/36445,,,,,,,,,,,,,,,,,,,
Ahorro energético en iluminación del área de competencia de la piscina olímpica de Sucre mediante luminarias tipo LED,Denisse Erika Mejía Alanez,UMSA,2020,Ingeniería,Paper escrito por mujeres STEM,http://repositorio.umsa.bo/xmlui/handle/123456789/31898,,,,,,,,,,,,,,,,,,,
